tweet_id,favs_count,retweets
792394556390137856,13204,4217
792050063153438720,7029,1751
791821351946420224,0,20661
791784077045166082,0,9351
791780927877898241,0,3744
791774931465953280,44390,21703
791672322847637504,11577,3069
791406955684368384,12949,4025
791312159183634433,8628,2479
791026214425268224,0,4011
790987426131050500,9669,2088
790946055508652032,16417,4588
790723298204217344,0,2258
790698755171364864,8079,1882
790581949425475584,20333,6954
790337589677002753,7711,1851
790277117346975746,12365,3108
790227638568808452,0,3481
789986466051088384,9114,2258
789960241177853952,0,4013
789903600034189313,10181,4053
789628658055020548,7366,1727
789599242079838210,6637,1880
789530877013393408,11542,3299
789314372632018944,8503,2243
789280767834746880,0,4817
789268448748703744,8968,2559
789137962068021249,9550,2723
788908386943430656,26996,12216
788765914992902144,26889,10068
788552643979468800,0,6990
788412144018661376,15287,5148
788178268662984705,7126,2049
788150585577050112,6020,1251
788070120937619456,0,3361
788039637453406209,6029,1282
787810552592695296,8484,2984
787717603741622272,10098,2714
787397959788929025,10726,2789
787322443945877504,7672,1701
787111942498508800,0,6601
786963064373534720,26206,7797
786729988674449408,0,2379
786709082849828864,17968,5992
786664955043049472,10409,2476
786595970293370880,9313,3063
786363235746385920,10708,3394
786286427768250368,7841,2768
786233965241827333,14983,4595
786051337297522688,1399,153
786036967502913536,0,6819
785927819176054784,11202,3115
785872687017132033,6595,1759
785639753186217984,7736,2190
785533386513321988,8939,1944
785515384317313025,6014,1227
785264754247995392,7145,1588
785170936622350336,11827,4715
784826020293709826,9929,3160
784517518371221505,8828,2466
784431430411685888,5631,1239
784183165795655680,19685,7829
784057939640352768,29209,10819
783839966405230592,29429,10516
783821107061198850,7240,1913
783695101801398276,10273,3130
783466772167098368,8290,2175
783391753726550016,16582,5325
783347506784731136,0,5397
783334639985389568,28565,11372
783085703974514689,8018,2139
782969140009107456,23692,7165
782747134529531904,7332,1377
782722598790725632,16938,5249
